"customer_state","one_time","repeat","total_customers","repeat_rate_pct"
"AC","72","4","76","5.26"
"RO","222","9","231","3.90"
"MT","827","28","855","3.27"
"RJ","11494","385","11879","3.24"
"SP","37855","1210","39065","3.10"
"RS","4994","157","5151","3.05"
"GO","1832","57","1889","3.02"
"ES","1869","56","1925","2.91"
"PR","4613","137","4750","2.88"
"DF","1955","58","2013","2.88"
"MG","10654","315","10969","2.87"
"BA","3067","88","3155","2.79"
"TO","260","7","267","2.62"
"AL","376","10","386","2.59"
"SC","3352","89","3441","2.59"
"RR","38","1","39","2.56"
"MS","664","17","681","2.50"
"PA","896","22","918","2.40"
"RN","450","10","460","2.17"
"PI","453","10","463","2.16"
"AM","137","3","140","2.14"
"PE","1513","32","1545","2.07"
"MA","682","14","696","2.01"
"PB","493","10","503","1.99"
"SE","320","6","326","1.84"
"CE","1232","20","1252","1.60"
"AP","65","1","66","1.52"
