"order_month","total_orders","total_revenue"
"2017-01-01","750","127482.37"
"2017-02-01","1653","271239.32"
"2017-03-01","2546","414330.95"
"2017-04-01","2303","390812.40"
"2017-05-01","3546","566851.40"
"2017-06-01","3135","490050.37"
"2017-07-01","3872","566299.08"
"2017-08-01","4193","645832.36"
"2017-09-01","4150","701077.49"
"2017-10-01","4478","751117.01"
"2017-11-01","7289","1153364.20"
"2017-12-01","5513","843078.29"
"2018-01-01","7069","1077887.46"
"2018-02-01","6555","966168.41"
"2018-03-01","7003","1120598.24"
"2018-04-01","6798","1132878.93"
"2018-05-01","6749","1128774.52"
"2018-06-01","6099","1011978.29"
"2018-07-01","6159","1027807.28"
"2018-08-01","6351","985491.64"
