"order_month","customer_state","total_orders","total_revenue"
"2017-01-01","AC","2","723.14"
"2017-01-01","AL","2","454.36"
"2017-01-01","BA","24","4325.37"
"2017-01-01","CE","8","1085.13"
"2017-01-01","DF","13","2104.75"
"2017-01-01","ES","9","1010.78"
"2017-01-01","GO","18","4658.29"
"2017-01-01","MA","6","716.47"
"2017-01-01","MG","102","18045.23"
"2017-01-01","MS","1","170.36"
"2017-01-01","MT","9","1922.79"
"2017-01-01","PA","10","1522.92"
"2017-01-01","PB","2","463.13"
"2017-01-01","PE","9","2151.93"
"2017-01-01","PI","7","1453.98"
"2017-01-01","PR","62","5985.00"
"2017-01-01","RJ","91","14002.73"
"2017-01-01","RN","5","1268.13"
"2017-01-01","RO","3","825.51"
"2017-01-01","RS","52","13139.94"
"2017-01-01","SC","26","5555.61"
"2017-01-01","SE","4","381.78"
"2017-01-01","SP","283","44838.18"
"2017-01-01","TO","2","676.86"
"2017-02-01","AC","3","597.40"
"2017-02-01","AL","12","2967.87"
"2017-02-01","AM","8","1122.54"
"2017-02-01","AP","2","707.20"
"2017-02-01","BA","58","8517.47"
"2017-02-01","CE","13","2483.53"
"2017-02-01","DF","21","10366.60"
"2017-02-01","ES","31","4590.71"
"2017-02-01","GO","24","2855.54"
"2017-02-01","MA","11","1195.23"
"2017-02-01","MG","241","33918.20"
"2017-02-01","MS","11","7910.94"
"2017-02-01","MT","17","3583.36"
"2017-02-01","PA","24","10604.70"
"2017-02-01","PB","11","2248.31"
"2017-02-01","PE","20","3320.02"
"2017-02-01","PI","10","3505.07"
"2017-02-01","PR","110","20612.70"
"2017-02-01","RJ","230","35258.76"
"2017-02-01","RN","8","648.61"
"2017-02-01","RO","9","1837.87"
"2017-02-01","RR","2","108.74"
"2017-02-01","RS","100","17391.45"
"2017-02-01","SC","57","7105.68"
"2017-02-01","SE","12","2404.98"
"2017-02-01","SP","601","84436.29"
"2017-02-01","TO","7","939.55"
"2017-03-01","AC","2","530.18"
"2017-03-01","AL","10","1421.50"
"2017-03-01","AM","5","793.39"
"2017-03-01","AP","3","412.89"
"2017-03-01","BA","87","18314.25"
"2017-03-01","CE","26","7158.84"
"2017-03-01","DF","54","7957.29"
"2017-03-01","ES","47","5930.81"
"2017-03-01","GO","47","9699.03"
"2017-03-01","MA","22","2722.15"
"2017-03-01","MG","343","48493.86"
"2017-03-01","MS","19","6992.90"
"2017-03-01","MT","16","2702.55"
"2017-03-01","PA","35","9072.74"
"2017-03-01","PB","16","4936.41"
"2017-03-01","PE","36","6519.38"
"2017-03-01","PI","13","2636.75"
"2017-03-01","PR","121","16976.20"
"2017-03-01","RJ","370","61309.51"
"2017-03-01","RN","13","2104.60"
"2017-03-01","RO","16","2523.68"
"2017-03-01","RR","2","330.81"
"2017-03-01","RS","144","22944.03"
"2017-03-01","SC","104","20265.69"
"2017-03-01","SE","22","3121.51"
"2017-03-01","SP","966","147657.79"
"2017-03-01","TO","7","802.21"
"2017-04-01","AC","5","1351.51"
"2017-04-01","AL","21","5169.93"
"2017-04-01","AM","13","1176.23"
"2017-04-01","BA","84","20385.40"
"2017-04-01","CE","42","6924.79"
"2017-04-01","DF","34","8550.68"
"2017-04-01","ES","45","6381.70"
"2017-04-01","GO","38","6346.47"
"2017-04-01","MA","25","3764.05"
"2017-04-01","MG","266","44907.12"
"2017-04-01","MS","15","2208.44"
"2017-04-01","MT","25","3991.56"
"2017-04-01","PA","36","6108.21"
"2017-04-01","PB","20","3562.68"
"2017-04-01","PE","36","4620.24"
"2017-04-01","PI","11","2448.68"
"2017-04-01","PR","112","17986.94"
"2017-04-01","RJ","325","63917.09"
"2017-04-01","RN","10","1565.25"
"2017-04-01","RO","7","1042.46"
"2017-04-01","RR","2","106.89"
"2017-04-01","RS","132","19462.65"
"2017-04-01","SC","100","13324.19"
"2017-04-01","SE","13","3340.07"
"2017-04-01","SP","873","138729.28"
"2017-04-01","TO","13","3439.89"
"2017-05-01","AC","8","2371.73"
"2017-05-01","AL","26","5634.42"
"2017-05-01","AM","8","1244.49"
"2017-05-01","AP","4","1387.85"
"2017-05-01","BA","119","19536.10"
"2017-05-01","CE","62","12628.67"
"2017-05-01","DF","60","8687.25"
"2017-05-01","ES","90","14658.68"
"2017-05-01","GO","83","18845.55"
"2017-05-01","MA","31","4274.65"
"2017-05-01","MG","412","57394.46"
"2017-05-01","MS","26","3722.32"
"2017-05-01","MT","37","7680.57"
"2017-05-01","PA","35","6570.70"
"2017-05-01","PB","17","3372.49"
"2017-05-01","PE","63","12430.73"
"2017-05-01","PI","23","6676.85"
"2017-05-01","PR","206","35559.00"
"2017-05-01","RJ","466","81282.65"
"2017-05-01","RN","17","5582.87"
"2017-05-01","RO","8","828.88"
"2017-05-01","RR","2","317.97"
"2017-05-01","RS","206","33017.56"
"2017-05-01","SC","146","24493.29"
"2017-05-01","SE","11","1059.53"
"2017-05-01","SP","1363","194990.23"
"2017-05-01","TO","17","2601.91"
"2017-06-01","AC","4","510.27"
"2017-06-01","AL","10","1268.97"
"2017-06-01","AM","1","204.84"
"2017-06-01","AP","2","369.74"
"2017-06-01","BA","103","22872.92"
"2017-06-01","CE","44","10884.08"
"2017-06-01","DF","69","9700.35"
"2017-06-01","ES","79","12343.29"
"2017-06-01","GO","73","10585.22"
"2017-06-01","MA","15","2224.06"
"2017-06-01","MG","356","54349.25"
"2017-06-01","MS","27","4442.66"
"2017-06-01","MT","24","4821.91"
"2017-06-01","PA","36","6610.35"
"2017-06-01","PB","22","6912.99"
"2017-06-01","PE","41","7108.02"
"2017-06-01","PI","14","2626.96"
"2017-06-01","PR","167","25511.62"
"2017-06-01","RJ","399","61867.18"
"2017-06-01","RN","12","1593.06"
"2017-06-01","RO","10","2311.06"
"2017-06-01","RR","3","175.18"
"2017-06-01","RS","215","28267.63"
"2017-06-01","SC","109","15522.55"
"2017-06-01","SE","8","1619.23"
"2017-06-01","SP","1284","190905.86"
"2017-06-01","TO","8","4441.12"
"2017-07-01","AC","5","794.40"
"2017-07-01","AL","15","2839.57"
"2017-07-01","AM","5","951.40"
"2017-07-01","AP","1","292.39"
"2017-07-01","BA","144","22119.87"
"2017-07-01","CE","53","9833.21"
"2017-07-01","DF","75","12837.69"
"2017-07-01","ES","81","8879.17"
"2017-07-01","GO","77","10576.97"
"2017-07-01","MA","37","7599.90"
"2017-07-01","MG","435","63482.46"
"2017-07-01","MS","24","4120.79"
"2017-07-01","MT","37","11302.11"
"2017-07-01","PA","36","5700.98"
"2017-07-01","PB","26","5527.03"
"2017-07-01","PE","70","11523.39"
"2017-07-01","PI","20","2938.77"
"2017-07-01","PR","195","28853.67"
"2017-07-01","RJ","547","87535.71"
"2017-07-01","RN","27","4178.25"
"2017-07-01","RO","10","1428.64"
"2017-07-01","RR","1","225.01"
"2017-07-01","RS","242","34590.91"
"2017-07-01","SC","152","21810.52"
"2017-07-01","SE","13","1773.19"
"2017-07-01","SP","1543","204456.50"
"2017-07-01","TO","1","126.58"
"2017-08-01","AC","4","765.83"
"2017-08-01","AL","17","9558.32"
"2017-08-01","AM","5","1483.41"
"2017-08-01","AP","3","384.78"
"2017-08-01","BA","152","29358.41"
"2017-08-01","CE","73","12957.67"
"2017-08-01","DF","83","11396.93"
"2017-08-01","ES","94","15344.55"
"2017-08-01","GO","89","15597.37"
"2017-08-01","MA","38","7625.94"
"2017-08-01","MG","459","68994.53"
"2017-08-01","MS","24","4468.64"
"2017-08-01","MT","38","7831.89"
"2017-08-01","PA","57","17119.10"
"2017-08-01","PB","16","3053.11"
"2017-08-01","PE","83","15449.90"
"2017-08-01","PI","20","5290.71"
"2017-08-01","PR","220","33311.70"
"2017-08-01","RJ","537","88279.28"
"2017-08-01","RN","20","3273.35"
"2017-08-01","RO","14","2815.97"
"2017-08-01","RS","296","39900.39"
"2017-08-01","SC","152","25505.67"
"2017-08-01","SE","19","4329.04"
"2017-08-01","SP","1665","219217.35"
"2017-08-01","TO","15","2518.52"
"2017-09-01","AC","5","2029.23"
"2017-09-01","AL","19","5093.78"
"2017-09-01","AM","9","1518.44"
"2017-09-01","AP","2","499.22"
"2017-09-01","BA","167","27981.32"
"2017-09-01","CE","74","19287.00"
"2017-09-01","DF","94","15362.93"
"2017-09-01","ES","93","13314.19"
"2017-09-01","GO","84","15488.32"
"2017-09-01","MA","41","11223.69"
"2017-09-01","MG","493","82843.49"
"2017-09-01","MS","32","5569.48"
"2017-09-01","MT","34","8167.22"
"2017-09-01","PA","41","7731.74"
"2017-09-01","PB","25","6284.27"
"2017-09-01","PE","74","15529.60"
"2017-09-01","PI","22","3574.17"
"2017-09-01","PR","176","24766.90"
"2017-09-01","RJ","591","106697.15"
"2017-09-01","RN","23","4019.86"
"2017-09-01","RO","16","4938.28"
"2017-09-01","RR","1","65.37"
"2017-09-01","RS","273","43233.60"
"2017-09-01","SC","153","29150.07"
"2017-09-01","SE","16","3541.49"
"2017-09-01","SP","1576","238766.96"
"2017-09-01","TO","16","4399.72"
"2017-10-01","AC","5","863.80"
"2017-10-01","AL","28","6341.58"
"2017-10-01","AM","3","164.56"
"2017-10-01","AP","3","1696.74"
"2017-10-01","BA","158","27614.20"
"2017-10-01","CE","63","14338.59"
"2017-10-01","DF","92","14731.50"
"2017-10-01","ES","100","12667.55"
"2017-10-01","GO","106","19277.69"
"2017-10-01","MA","48","12526.98"
"2017-10-01","MG","542","93049.17"
"2017-10-01","MS","33","7301.77"
"2017-10-01","MT","50","12892.88"
"2017-10-01","PA","52","8721.81"
"2017-10-01","PB","28","11515.49"
"2017-10-01","PE","77","20097.25"
"2017-10-01","PI","23","4955.04"
"2017-10-01","PR","198","37404.60"
"2017-10-01","RJ","654","110577.96"
"2017-10-01","RN","23","5352.02"
"2017-10-01","RO","13","2291.69"
"2017-10-01","RR","3","525.15"
"2017-10-01","RS","244","43173.07"
"2017-10-01","SC","174","24773.76"
"2017-10-01","SE","22","5123.29"
"2017-10-01","SP","1723","249900.80"
"2017-10-01","TO","13","3238.07"
"2017-11-01","AC","5","945.16"
"2017-11-01","AL","26","7441.47"
"2017-11-01","AM","10","3001.01"
"2017-11-01","AP","4","689.17"
"2017-11-01","BA","243","35449.55"
"2017-11-01","CE","103","22128.37"
"2017-11-01","DF","157","30196.03"
"2017-11-01","ES","168","28402.83"
"2017-11-01","GO","153","24663.56"
"2017-11-01","MA","53","12234.40"
"2017-11-01","MG","922","154129.38"
"2017-11-01","MS","44","6982.46"
"2017-11-01","MT","73","13363.59"
"2017-11-01","PA","69","14372.53"
"2017-11-01","PB","27","5716.22"
"2017-11-01","PE","125","24234.70"
"2017-11-01","PI","31","3805.39"
"2017-11-01","PR","365","54237.97"
"2017-11-01","RJ","1012","172197.82"
"2017-11-01","RN","41","9740.03"
"2017-11-01","RO","17","7057.47"
"2017-11-01","RR","2","151.46"
"2017-11-01","RS","409","67262.73"
"2017-11-01","SC","288","44267.72"
"2017-11-01","SE","26","6613.39"
"2017-11-01","SP","2899","401000.87"
"2017-11-01","TO","17","3078.92"
"2017-12-01","AC","5","1409.58"
"2017-12-01","AL","12","2680.76"
"2017-12-01","AM","6","1173.62"
"2017-12-01","AP","4","770.56"
"2017-12-01","BA","188","32914.95"
"2017-12-01","CE","79","12640.20"
"2017-12-01","DF","129","19766.65"
"2017-12-01","ES","108","14250.56"
"2017-12-01","GO","125","18386.48"
"2017-12-01","MA","40","7281.94"
"2017-12-01","MG","669","105453.80"
"2017-12-01","MS","34","6005.95"
"2017-12-01","MT","49","10548.43"
"2017-12-01","PA","58","12382.40"
"2017-12-01","PB","37","7016.25"
"2017-12-01","PE","101","19157.13"
"2017-12-01","PI","23","3508.48"
"2017-12-01","PR","260","35094.41"
"2017-12-01","RJ","746","130017.21"
"2017-12-01","RN","30","4098.50"
"2017-12-01","RO","11","2410.36"
"2017-12-01","RS","278","48693.42"
"2017-12-01","SC","192","28370.06"
"2017-12-01","SE","20","4051.92"
"2017-12-01","SP","2295","313102.51"
"2017-12-01","TO","14","1892.16"
"2018-01-01","AC","6","1157.89"
"2018-01-01","AL","36","6218.42"
"2018-01-01","AM","12","3433.46"
"2018-01-01","AP","11","2788.74"
"2018-01-01","BA","228","43494.59"
"2018-01-01","CE","77","14757.26"
"2018-01-01","DF","135","20353.35"
"2018-01-01","ES","145","23528.22"
"2018-01-01","GO","144","19959.50"
"2018-01-01","MA","55","11090.63"
"2018-01-01","MG","846","132577.79"
"2018-01-01","MS","70","12029.88"
"2018-01-01","MT","83","12766.27"
"2018-01-01","PA","69","16733.80"
"2018-01-01","PB","31","8022.52"
"2018-01-01","PE","102","17198.16"
"2018-01-01","PI","47","8577.28"
"2018-01-01","PR","371","51705.11"
"2018-01-01","RJ","850","137340.09"
"2018-01-01","RN","42","6833.55"
"2018-01-01","RO","20","3090.10"
"2018-01-01","RR","1","162.79"
"2018-01-01","RS","367","54809.28"
"2018-01-01","SC","311","44495.73"
"2018-01-01","SE","19","3689.27"
"2018-01-01","SP","2975","418292.49"
"2018-01-01","TO","16","2781.29"
"2018-02-01","AC","3","299.22"
"2018-02-01","AL","27","5680.85"
"2018-02-01","AM","8","2486.58"
"2018-02-01","AP","2","1086.31"
"2018-02-01","BA","208","37593.94"
"2018-02-01","CE","84","12669.06"
"2018-02-01","DF","170","24650.39"
"2018-02-01","ES","149","20330.98"
"2018-02-01","GO","146","21259.31"
"2018-02-01","MA","55","12459.92"
"2018-02-01","MG","790","124114.83"
"2018-02-01","MS","64","10126.16"
"2018-02-01","MT","67","9847.28"
"2018-02-01","PA","57","10947.18"
"2018-02-01","PB","35","6342.92"
"2018-02-01","PE","121","20109.97"
"2018-02-01","PI","32","5658.96"
"2018-02-01","PR","335","51598.61"
"2018-02-01","RJ","879","130648.53"
"2018-02-01","RN","23","4131.02"
"2018-02-01","RO","13","2109.97"
"2018-02-01","RR","3","235.63"
"2018-02-01","RS","363","54677.47"
"2018-02-01","SC","254","37691.39"
"2018-02-01","SE","15","5103.10"
"2018-02-01","SP","2632","350950.36"
"2018-02-01","TO","20","3358.47"
"2018-03-01","AC","2","164.67"
"2018-03-01","AL","27","7465.31"
"2018-03-01","AM","8","1434.17"
"2018-03-01","AP","5","704.54"
"2018-03-01","BA","235","43214.86"
"2018-03-01","CE","93","22201.20"
"2018-03-01","DF","147","24405.52"
"2018-03-01","ES","133","20361.30"
"2018-03-01","GO","141","22223.25"
"2018-03-01","MA","49","10459.45"
"2018-03-01","MG","856","136182.28"
"2018-03-01","MS","57","8588.89"
"2018-03-01","MT","52","9981.38"
"2018-03-01","PA","67","14787.13"
"2018-03-01","PB","39","8067.23"
"2018-03-01","PE","107","26810.18"
"2018-03-01","PI","34","8158.83"
"2018-03-01","PR","369","58850.79"
"2018-03-01","RJ","864","135186.87"
"2018-03-01","RN","38","8857.16"
"2018-03-01","RO","13","3305.85"
"2018-03-01","RR","5","2018.80"
"2018-03-01","RS","407","66375.42"
"2018-03-01","SC","247","42689.50"
"2018-03-01","SE","17","3412.52"
"2018-03-01","SP","2971","429111.51"
"2018-03-01","TO","20","5579.63"
"2018-04-01","AC","4","588.17"
"2018-04-01","AL","27","7006.46"
"2018-04-01","AM","6","893.49"
"2018-04-01","AP","5","1042.80"
"2018-04-01","BA","216","36881.76"
"2018-04-01","CE","96","19887.60"
"2018-04-01","DF","146","21467.25"
"2018-04-01","ES","140","19112.65"
"2018-04-01","GO","132","22230.51"
"2018-04-01","MA","46","10023.53"
"2018-04-01","MG","778","128818.81"
"2018-04-01","MS","43","7053.14"
"2018-04-01","MT","64","13542.45"
"2018-04-01","PA","66","13825.55"
"2018-04-01","PB","28","5516.37"
"2018-04-01","PE","110","21510.50"
"2018-04-01","PI","34","12357.31"
"2018-04-01","PR","381","76235.20"
"2018-04-01","RJ","807","139672.71"
"2018-04-01","RN","32","7518.84"
"2018-04-01","RO","11","4085.72"
"2018-04-01","RR","2","772.01"
"2018-04-01","RS","345","58777.57"
"2018-04-01","SC","245","51729.70"
"2018-04-01","SE","13","3532.98"
"2018-04-01","SP","3002","443425.34"
"2018-04-01","TO","19","5370.51"
"2018-05-01","AC","2","1501.42"
"2018-05-01","AL","19","4393.10"
"2018-05-01","AM","9","2181.79"
"2018-05-01","AP","6","1189.93"
"2018-05-01","BA","237","42313.78"
"2018-05-01","CE","72","14495.34"
"2018-05-01","DF","140","28836.36"
"2018-05-01","ES","132","22037.68"
"2018-05-01","GO","136","27537.77"
"2018-05-01","MA","32","8589.55"
"2018-05-01","MG","751","119508.58"
"2018-05-01","MS","44","11059.73"
"2018-05-01","MT","66","14789.89"
"2018-05-01","PA","40","9160.55"
"2018-05-01","PB","29","5909.59"
"2018-05-01","PE","102","16506.23"
"2018-05-01","PI","30","8422.94"
"2018-05-01","PR","308","53994.09"
"2018-05-01","RJ","816","143369.25"
"2018-05-01","RN","22","4998.86"
"2018-05-01","RO","17","3157.51"
"2018-05-01","RR","1","171.69"
"2018-05-01","RS","350","59733.47"
"2018-05-01","SC","226","41778.77"
"2018-05-01","SE","8","1320.59"
"2018-05-01","SP","3138","478501.73"
"2018-05-01","TO","16","3314.33"
"2018-06-01","AC","3","597.26"
"2018-06-01","AL","24","4852.93"
"2018-06-01","AM","7","1211.14"
"2018-06-01","AP","2","247.92"
"2018-06-01","BA","198","41922.13"
"2018-06-01","CE","72","19726.47"
"2018-06-01","DF","147","22875.97"
"2018-06-01","ES","123","20647.08"
"2018-06-01","GO","105","17381.31"
"2018-06-01","MA","41","7845.37"
"2018-06-01","MG","714","125358.97"
"2018-06-01","MS","49","10765.75"
"2018-06-01","MT","58","13008.55"
"2018-06-01","PA","54","11950.55"
"2018-06-01","PB","28","14221.13"
"2018-06-01","PE","91","17821.38"
"2018-06-01","PI","29","5999.96"
"2018-06-01","PR","306","50248.06"
"2018-06-01","RJ","707","119242.80"
"2018-06-01","RN","35","8396.00"
"2018-06-01","RO","11","2418.97"
